5|38989
10|77993
15|116993
20|155993
25|194993
30|233993
35|272993
40|311993
45|350993
50|389993
55|428993
60|467993
65|506993
70|545993
75|584993
80|623993
85|662993
90|701993
95|740993
100|779993
105|818993
110|857993
115|896993
120|935850
125|974994
130|1013994
135|1052994
140|1091994
145|1130994
150|1169994
155|1208994
160|1247994
165|1286993
170|1325993
175|1364972
180|1403993
185|1442993
190|1481993
195|1520993
200|1559993
205|1598993
210|1637993
215|1676813
220|1715993
225|1754994
230|1793994
235|1832993
240|1871993
245|1910977
250|1949992
255|1988993
260|2027993
265|2066993
270|2105977
275|2144993
280|2183993
285|2222993
290|2261977
295|2300993
300|2339993
305|2378993
310|2417978
315|2456993
320|2495993
325|2534977
330|2573993
335|2612993
340|2651978
345|2690993
350|2729993
355|2768977
360|2807993
365|2846993
370|2885978
375|2924993
380|2963977
385|3002993
390|3041963
395|3080993
400|3119994
405|3158994
410|3197994
415|3236994
420|3275994
425|3314993
430|3353977
435|3392977
440|3431993
445|3470993
450|3509978
455|3548994
460|3587994
465|3626993
470|3665994
475|3704994
480|3743977
485|3782977
490|3821993
495|3860993
500|3899978
505|3938993
510|3977993
515|4016993
520|4055993
525|4094993
530|4133975
535|4172993
540|4211976
545|4250993
550|4289977
555|4328993
560|4367978
565|4406977
570|4445978
575|4484993
580|4523993
585|4562993
590|4601977
595|4640977
600|4679993
605|4718978
610|4757993
615|4796992
620|4835930
625|4874977
630|4913978
635|4952993
640|4991994
645|5030993
650|5069992
655|5108977
660|5147976
665|5186977
670|5225976
675|5264977
680|5303978
685|5342993
690|5381993
695|5420927
700|5459977
705|5498975
710|5537977
715|5576977
720|5615977
725|5654978
730|5693994
735|5732994
740|5771975
745|5810978
750|5849994
755|5888993
760|5927977
765|5966978
770|6005993
775|6044977
780|6083977
785|6122978
790|6161993
795|6200977
800|6239978
805|6278993
810|6317977
815|6356977
820|6395978
825|6434993
830|6473976
835|6512978
840|6551993
845|6590976
850|6629978
855|6668993
860|6707976
865|6746978
870|6785993
875|6824976
880|6863978
885|6902993
890|6941976
895|6980977
900|7019977
905|7058975
910|7097891
915|7136975
920|7175975
925|7214976
930|7253975
935|7292975
940|7331976
945|7370975
950|7409975
955|7448974
960|7487843
965|7526975
970|7565975
975|7604974
980|7643975
985|7682975
990|7721974
995|7760974
1000|7799975
